Country;2008;2009;2010;2011;2012;2013;2014;2015;
EU_28;225150;263835;259400;309040;335290;431090;626960;1322825;
Belgium;15165;21615;26080;31910;28075;21030;22710;44660;
Bulgaria;745;855;1025;890;1385;7145;11080;20365;
Czech Republic;1645;1235;775;750;740;695;1145;1515;
Denmark;2350;3720;5065;3945;6045;7170;14680;20935;
Germany;26845;32910;48475;53235;77485;126705;202645;476510;
Estonia;15;40;35;65;75;95;155;230;
Ireland;3855;2680;1935;1290;955;945;1450;3275;
Greece;19885;15925;10275;9310;9575;8225;9430;13205;
Spain;4515;3005;2740;3420;2565;4485;5615;14780;
France;41840;47620;52725;57330;61440;66265;64310;76165;
Croatia;:;:;:;:;:;1075;450;210;
Italy;30140;17640;10000;40315;17335;26620;64625;83540;
Cyprus;3920;3200;2875;1770;1635;1255;1745;2265;
Latvia;55;60;65;340;205;195;375;330;
Lithuania;520;450;495;525;645;400;440;315;
Luxembourg;455;480;780;2150;2050;1070;1150;2505;
Hungary;3175;4665;2095;1690;2155;18895;42775;177135;
Malta;2605;2385;175;1890;2080;2245;1350;1845;
Netherlands;15250;16135;15100;14590;13095;13060;24495;44970;
Austria;12715;15780;11045;14420;17415;17500;28035;88160;
Poland;8515;10590;6540;6885;10750;15240;8020;12190;
Portugal;160;140;155;275;295;500;440;895;
Romania;1175;960;885;1720;2510;1495;1545;1260;
Slovenia;255;190;240;355;295;270;385;275;
Slovakia;895;805;540;490;730;440;330;330;
Finland;3670;4910;3085;2915;3095;3210;3620;32345;
Sweden;24785;24175;31850;29650;43855;54270;81180;162450;
United Kingdom;:;31665;24335;26915;28800;30585;32785;40160;
Iceland;70;35;40;75;115;125;170;345;
Liechtenstein;20;280;105;75;70;55;65;150;
Norway;14395;17125;10015;8990;9675;11930;11415;31110;
Switzerland;16520;15900;15425;23615;28400;21305;23555;39445;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
