Country;2008;2009;2010;2011;2012;2013;2014;2015;
EU_28;14145;14135;13650;13790;13510;14845;15990;18135;
Belgium;315;165;195;425;295;370;440;395;
Bulgaria;0;0;0;0;0;0;5;0;
Czech Republic;10;0;5;115;0;0;5;0;
Denmark;110;65;130;220;230;265;160;210;
Germany;1625;1410;1220;1680;2110;2960;4330;5170;
Estonia;0;0;0;0;0;0;0;0;
Ireland;285;260;130;75;45;55;90;180;
Greece;345;30;35;195;185;325;805;1355;
Spain;20;25;15;0;10;15;0;5;
France;5190;4040;4245;4930;4290;4270;4245;3830;
Croatia;:;:;:;:;20;0;0;0;
Italy;0;45;70;65;45;5;10;0;
Cyprus;10;25;25;20;5;10;10;45;
Latvia;0;5;0;5;5;5;0;0;
Lithuania;0;0;0;0;0;0;0;0;
Luxembourg;55;20;30;40;5;0;5;15;
Hungary;0;5;10;5;20;25;20;25;
Malta;0;0;0;0;10;0;10;30;
Netherlands;75;45;90;120;70;450;260;255;
Austria;1705;1400;1060;1325;1240;1180;2050;1740;
Poland;5;0;0;5;20;5;5;10;
Portugal;0;0;0;0;0;0;0;0;
Romania;15;65;85;75;160;390;5;10;
Slovenia;0;0;0;0;0;0;0;5;
Slovakia;0;5;0;0;5;0;0;0;
Finland;0;5;5;20;90;50;75;50;
Sweden;210;310;285;455;725;685;750;770;
United Kingdom;4170;6215;6010;4010;3920;3770;2700;4030;
Iceland;0;0;0;0;0;5;0;15;
Liechtenstein;0;0;0;0;15;0;0;0;
Norway;35;45;165;290;285;345;240;200;
Switzerland;170;115;70;35;50;50;45;70;
