"";"X";"Year";"Country";"Refugees_from_Syria";"Deaths_in_Syria";"Unemployment";"Number_of_Syrians_in_country"
"1";1;2010;"Austria";976;0;4,82168;NA
"2";2;2010;"Belgium";229;0;8,293048;"1,809"
"3";3;2010;"Bosnia and Herzegovina";3;0;10,16;NA
"4";4;2010;"Bulgaria";125;0;10,16;"720"
"5";5;2010;"Croatia";4;0;10,16;NA
"6";6;2010;"Cyprus";367;0;10,16;NA
"7";7;2010;"Czech Rep.";59;0;7,279707;"486"
"8";8;2010;"Denmark";1233;0;7,463035;"901"
"9";9;2010;"Finland";82;0;8,386981;"156"
"10";10;2010;"France";280;0;8,871792;NA
"11";11;2010;"Germany";13208;0;6,967637;"31,583"
"12";12;2010;"Greece";2233;0;12,71716;NA
"13";13;2010;"Hungary";47;0;11,17377;"816"
"14";14;2010;"Iceland";3;0;10,16;"6"
"15";15;2010;"Ireland";44;0;13,85273;"221"
"16";16;2010;"Italy";240;0;8,359172;"2,962"
"17";17;2010;"Luxembourg";15;0;4,351644;NA
"18";18;2010;"Malta";36;0;10,16;NA
"19";19;2010;"Netherlands";1319;0;4,450514;"573"
"20";20;2010;"Norway";378;0;10,16;"416"
"21";21;2010;"Poland";16;0;9,640347;NA
"22";22;2010;"Romania";34;0;10,16;NA
"23";23;2010;"Russian Federation";8;0;10,16;NA
"24";24;2010;"Slovakia";22;0;14,38103;"79"
"25";25;2010;"Spain";47;0;19,8598;NA
"26";26;2010;"Sweden";1540;0;8,610753;"3,422"
"27";27;2010;"Switzerland";1553;0;10,16;"1,114"
"28";28;2010;"Turkey";74;0;10,16;NA
"29";29;2010;"Ukraine";138;0;10,16;NA
"30";30;2010;"United Kingdom";499;0;7,786648;NA
"31";31;2011;"Armenia";8;3917;10,16;NA
"32";32;2011;"Austria";1359;3917;4,566622;NA
"33";33;2011;"Azerbaijan";1;3917;10,16;NA
"34";34;2011;"Belgium";978;3917;7,139795;"2,927"
"35";35;2011;"Bosnia and Herzegovina";3;3917;10,16;NA
"36";36;2011;"Bulgaria";168;3917;10,16;"729"
"37";37;2011;"Croatia";4;3917;10,16;NA
"38";38;2011;"Cyprus";482;3917;10,16;NA
"39";39;2011;"Czech Rep.";23;3917;6,711369;"527"
"40";40;2011;"Denmark";1290;3917;7,572792;"1,298"
"41";41;2011;"Finland";161;3917;7,774969;"170"
"42";42;2011;"France";351;3917;8,811044;NA
"43";43;2011;"Germany";14868;3917;5,827424;NA
"44";44;2011;"Greece";10;3917;17,87071;NA
"45";45;2011;"Hungary";42;3917;11,03269;"818"
"46";46;2011;"Iceland";1;3917;10,16;"3"
"47";47;2011;"Ireland";45;3917;14,62392;"221"
"48";48;2011;"Italy";262;3917;8,353756;"2,990"
"49";49;2011;"Kazakhstan";2;3917;10,16;NA
"50";50;2011;"Latvia";15;3917;16,21216;NA
"51";51;2011;"Malta";152;3917;10,16;NA
"52";52;2011;"Netherlands";1295;3917;4,976648;"584"
"53";53;2011;"Norway";507;3917;10,16;"434"
"54";54;2011;"Poland";20;3917;9,632815;NA
"55";55;2011;"Romania";47;3917;10,16;NA
"56";56;2011;"Russian Federation";16;3917;10,16;NA
"57";57;2011;"Slovakia";23;3917;13,61758;"86"
"58";58;2011;"Slovenia";6;3917;8,169436;"11"
"59";59;2011;"Spain";32;3917;21,39048;NA
"60";60;2011;"Sweden";1691;3917;7,80387;"4,083"
"61";61;2011;"Switzerland";2140;3917;10,16;"2,165"
"62";62;2011;"Turkey";9494;3917;10,16;"2,896"
"63";63;2011;"Ukraine";219;3917;10,16;NA
"64";64;2011;"United Kingdom";1032;3917;8,036335;NA
"65";65;2012;"Albania";3;15613;10,16;NA
"66";66;2012;"Armenia";5976;15613;10,16;NA
"67";67;2012;"Austria";2369;15613;4,863267;"1,913"
"68";68;2012;"Azerbaijan";9;15613;10,16;NA
"69";69;2012;"Belarus";11;15613;10,16;NA
"70";70;2012;"Belgium";1293;15613;7,537931;"3,293"
"71";71;2012;"Bosnia and Herzegovina";31;15613;10,16;NA
"72";72;2012;"Bulgaria";97;15613;10,16;"753"
"73";73;2012;"Croatia";52;15613;10,16;NA
"74";74;2012;"Cyprus";1085;15613;10,16;NA
"75";75;2012;"Czech Rep.";124;15613;6,977849;"546"
"76";76;2012;"Denmark";2018;15613;7,524072;"1,856"
"77";77;2012;"Finland";328;15613;7,68181;"193"
"78";78;2012;"France";640;15613;9,399351;NA
"79";79;2012;"Georgia";157;15613;10,16;NA
"80";80;2012;"Germany";24151;15613;5,380757;"30,261"
"81";81;2012;"Greece";20;15613;24,44174;NA
"82";82;2012;"Hungary";86;15613;11,00812;"626"
"83";83;2012;"Iceland";4;15613;10,16;"4"
"84";84;2012;"Ireland";53;15613;14,67011;"218"
"85";85;2012;"Italy";952;15613;10,65126;"3,130"
"86";86;2012;"Kazakhstan";12;15613;10,16;NA
"87";87;2012;"Latvia";32;15613;15,0552;"9"
"88";88;2012;"Malta";330;15613;10,16;NA
"89";89;2012;"Montenegro";7;15613;10,16;NA
"90";90;2012;"Netherlands";1680;15613;5,820699;"641"
"91";91;2012;"Norway";871;15613;10,16;"447"
"92";92;2012;"Poland";100;15613;10,08882;NA
"93";93;2012;"Portugal";9;15613;15,53028;"24"
"94";94;2012;"Romania";162;15613;10,16;"1,630"
"95";95;2012;"Russian Federation";1544;15613;10,16;NA
"96";96;2012;"Serbia and Kosovo (S/RES/1244 (1999))";49;15613;10,16;NA
"97";97;2012;"Slovakia";24;15613;13,96335;"66"
"98";98;2012;"Slovenia";10;15613;8,838806;"12"
"99";99;2012;"Spain";352;15613;24,78815;NA
"100";100;2012;"Sweden";9802;15613;7,975423;"4,961"
"101";101;2012;"Switzerland";3083;15613;10,16;"2,496"
"102";102;2012;"Turkey";317239;15613;10,16;"5,071"
"103";103;2012;"Ukraine";516;15613;10,16;NA
"104";104;2012;"United Kingdom";2106;15613;7,886268;NA
"105";105;2013;"Albania";15;9842;10,16;NA
"106";106;2013;"Armenia";11132;9842;10,16;NA
"107";107;2013;"Austria";4309;9842;5,336031;"2,542"
"108";108;2013;"Azerbaijan";15;9842;10,16;NA
"109";109;2013;"Belarus";60;9842;10,16;NA
"110";110;2013;"Belgium";2365;9842;8,425185;"3,956"
"111";111;2013;"Bosnia and Herzegovina";66;9842;10,16;NA
"112";112;2013;"Bulgaria";4604;9842;10,16;"792"
"113";113;2013;"Croatia";59;9842;10,16;NA
"114";114;2013;"Cyprus";1635;9842;10,16;NA
"115";115;2013;"Czech Rep.";174;9842;6,953799;"599"
"116";116;2013;"Denmark";3357;9842;6,995368;"2,739"
"117";117;2013;"Estonia";12;9842;8,631536;"3"
"118";118;2013;"Finland";429;9842;8,186392;"322"
"119";119;2013;"France";1817;9842;9,912376;NA
"120";120;2013;"Georgia";542;9842;10,16;NA
"121";121;2013;"Germany";31819;9842;5,231962;"36,862"
"122";122;2013;"Greece";9860;9842;27,46715;NA
"123";123;2013;"Hungary";325;9842;10,18524;"786"
"124";124;2013;"Iceland";18;9842;10,16;"6"
"125";125;2013;"Ireland";86;9842;13,04587;"221"
"126";126;2013;"Italy";1118;9842;12,14521;"3,662"
"127";127;2013;"Kazakhstan";29;9842;10,16;NA
"128";128;2013;"Latvia";45;9842;11,8683;"6"
"129";129;2013;"Luxembourg";28;9842;5,836521;NA
"130";130;2013;"Malta";878;9842;10,16;NA
"131";131;2013;"Montenegro";60;9842;10,16;NA
"132";132;2013;"Netherlands";3404;9842;7,242696;"846"
"133";133;2013;"Norway";1570;9842;10,16;"795"
"134";134;2013;"Poland";208;9842;10,32862;NA
"135";135;2013;"Portugal";22;9842;16,1838;"34"
"136";136;2013;"Romania";1023;9842;10,16;"2,582"
"137";137;2013;"Russian Federation";3402;9842;10,16;NA
"138";138;2013;"Serbia and Kosovo (S/RES/1244 (1999))";63;9842;10,16;NA
"139";139;2013;"Slovakia";26;9842;14,22133;"68"
"140";140;2013;"Slovenia";11;9842;10,10859;"14"
"141";141;2013;"Spain";923;9842;26,0919;NA
"142";142;2013;"Sweden";24792;9842;8,052903;"9,067"
"143";143;2013;"Switzerland";4861;9842;10,16;"3,156"
"144";144;2013;"Turkey";726467;9842;10,16;"10,067"
"145";145;2013;"Ukraine";758;9842;10,16;NA
"146";146;2013;"United Kingdom";3810;9842;7,52635;NA
"147";147;2014;"Albania";8;65281;10,16;NA
"148";148;2014;"Armenia";15003;65281;10,16;NA
"149";149;2014;"Austria";2748;65281;5,621219;NA
"150";150;2014;"Azerbaijan";14;65281;10,16;NA
"151";151;2014;"Belarus";120;65281;10,16;NA
"152";152;2014;"Belgium";3353;65281;8,52289;"4,760"
"153";153;2014;"Bosnia and Herzegovina";25;65281;10,16;NA
"154";154;2014;"Bulgaria";11011;65281;10,16;"2,027"
"155";155;2014;"Croatia";28;65281;10,16;NA
"156";156;2014;"Cyprus";2560;65281;10,16;NA
"157";157;2014;"Czech Rep.";290;65281;6,109115;"806"
"158";158;2014;"Denmark";8721;65281;6,59281;"4,352"
"159";159;2014;"Estonia";6;65281;7,355543;"3"
"160";160;2014;"Finland";493;65281;8,657802;"476"
"161";161;2014;"France";4121;65281;10,30407;NA
"162";162;2014;"Georgia";505;65281;10,16;NA
"163";163;2014;"Germany";70585;65281;4,981592;"53,129"
"164";164;2014;"Greece";4095;65281;26,49027;NA
"165";165;2014;"Hungary";1157;65281;7,728486;"965"
"166";166;2014;"Iceland";12;65281;10,16;"18"
"167";167;2014;"Ireland";187;65281;11,26332;"233"
"168";168;2014;"Italy";1475;65281;12,6798;"4,414"
"169";169;2014;"Kazakhstan";42;65281;10,16;NA
"170";170;2014;"Latvia";69;65281;10,84309;"8"
"171";171;2014;"Liechtenstein";5;65281;10,16;"1"
"172";172;2014;"Luxembourg";119;65281;5,854882;NA
"173";173;2014;"Malta";1081;65281;10,16;NA
"174";174;2014;"Montenegro";36;65281;10,16;NA
"175";175;2014;"Netherlands";11015;65281;7,416319;"1,367"
"176";176;2014;"Norway";3396;65281;10,16;"1,526"
"177";177;2014;"Poland";274;65281;8,990872;NA
"178";178;2014;"Portugal";30;65281;13,89509;"73"
"179";179;2014;"Romania";1392;65281;10,16;"3,588"
"180";180;2014;"Russian Federation";2340;65281;10,16;NA
"181";181;2014;"Serbia and Kosovo (S/RES/1244 (1999))";244;65281;10,16;NA
"182";182;2014;"Slovakia";40;65281;13,18428;"73"
"183";183;2014;"Slovenia";28;65281;9,673278;"23"
"184";184;2014;"Spain";2117;65281;24,44284;NA
"185";185;2014;"Sweden";53296;65281;7,955972;"20,511"
"186";186;2014;"Switzerland";8662;65281;10,16;"4,166"
"187";187;2014;"Turkey";1558149;65281;10,16;"57,896"
"188";188;2014;"Ukraine";935;65281;10,16;NA
"189";189;2014;"United Kingdom";5901;65281;6,111898;NA
"190";190;2015;"Armenia";16623;52999;10,16;NA
"191";191;2015;"Austria";33563;52999;5,723468;"9,839"
"192";192;2015;"Azerbaijan";16;52999;10,16;NA
"193";193;2015;"Belarus";145;52999;10,16;NA
"194";194;2015;"Belgium";8109;52999;8,481071;"7,564"
"195";195;2015;"Bosnia and Herzegovina";14;52999;10,16;NA
"196";196;2015;"Bulgaria";15502;52999;10,16;"7,508"
"197";197;2015;"Croatia";23;52999;10,16;NA
"198";198;2015;"Cyprus";9802;52999;10,16;NA
"199";199;2015;"Czech Rep.";407;52999;5,046221;"896"
"200";200;2015;"Denmark";13813;52999;6,169618;"9,822"
"201";201;2015;"Estonia";6;52999;6,191967;"3"
"202";202;2015;"Finland";1270;52999;9,367311;"1,049"
"203";203;2015;"France";7890;52999;10,35981;NA
"204";204;2015;"Georgia";484;52999;10,16;NA
"205";205;2015;"Germany";197186;52999;4,624955;NA
"206";206;2015;"Greece";9549;52999;24,90084;NA
"207";207;2015;"Hungary";19083;52999;6,817803;"1,158"
"208";208;2015;"Iceland";37;52999;10,16;"19"
"209";209;2015;"Ireland";160;52999;9,397721;"245"
"210";210;2015;"Italy";1706;52999;11,89388;"4,638"
"211";211;2015;"Kazakhstan";39;52999;10,16;NA
"212";212;2015;"Latvia";65;52999;9,875636;"8"
"213";213;2015;"Liechtenstein";23;52999;10,16;"6"
"214";214;2015;"Luxembourg";768;52999;6,658826;NA
"215";215;2015;"Malta";1488;52999;10,16;NA
"216";216;2015;"Netherlands";28902;52999;6,87228;"8,173"
"217";217;2015;"Norway";13249;52999;10,16;NA
"218";218;2015;"Poland";481;52999;7,50308;NA
"219";219;2015;"Portugal";30;52999;12,44469;"144"
"220";220;2015;"Romania";1687;52999;10,16;"3,963"
"221";221;2015;"Russian Federation";1697;52999;10,16;NA
"222";222;2015;"Serbia and Kosovo (S/RES/1244 (1999))";11;52999;10,16;NA
"223";223;2015;"Slovakia";47;52999;11,48227;"78"
"224";224;2015;"Slovenia";39;52999;8,962607;"39"
"225";225;2015;"Spain";4616;52999;22,05655;NA
