TIME;GEO;CITIZEN;AGE;SEX;UNIT;Value;Flag and Footnotes
2006;Belgium;Foreign country;Total;Total;Number;900,473;e
2006;Belgium;Foreign country;Total;Males;Number;459.07;
2006;Belgium;Foreign country;Total;Females;Number;441,403;
2006;Belgium;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Belgium;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Belgium;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Belgium;Syria;Total;Total;Number;;
2006;Belgium;Syria;Total;Males;Number;;
2006;Belgium;Syria;Total;Females;Number;;
2006;Bulgaria;Foreign country;Total;Total;Number;26;e
2006;Bulgaria;Foreign country;Total;Males;Number;;
2006;Bulgaria;Foreign country;Total;Females;Number;;
2006;Bulgaria;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Bulgaria;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Bulgaria;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Bulgaria;Syria;Total;Total;Number;;
2006;Bulgaria;Syria;Total;Males;Number;;
2006;Bulgaria;Syria;Total;Females;Number;;
2006;Czech Republic;Foreign country;Total;Total;Number;258.36;
2006;Czech Republic;Foreign country;Total;Males;Number;153,625;
2006;Czech Republic;Foreign country;Total;Females;Number;104,735;
2006;Czech Republic;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Czech Republic;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Czech Republic;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Czech Republic;Syria;Total;Total;Number;367;
2006;Czech Republic;Syria;Total;Males;Number;283;
2006;Czech Republic;Syria;Total;Females;Number;84;
2006;Denmark;Foreign country;Total;Total;Number;270,051;
2006;Denmark;Foreign country;Total;Males;Number;132,142;
2006;Denmark;Foreign country;Total;Females;Number;137,909;
2006;Denmark;Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Denmark;Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Denmark;Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Denmark;Syria;Total;Total;Number;605;
2006;Denmark;Syria;Total;Males;Number;242;
2006;Denmark;Syria;Total;Females;Number;363;
2006;Germany (until 1990 former territory of the FRG);Foreign country;Total;Total;Number;7,289,149;
2006;Germany (until 1990 former territory of the FRG);Foreign country;Total;Males;Number;3,766,501;
2006;Germany (until 1990 former territory of the FRG);Foreign country;Total;Females;Number;3,522,648;
2006;Germany (until 1990 former territory of the FRG);Non-EU-28 countries nor reporting country;Total;Total;Number;;
2006;Germany (until 1990 former territory of the FRG);Non-EU-28 countries nor reporting country;Total;Males;Number;;
2006;Germany (until 1990 former territory of the FRG);Non-EU-28 countries nor reporting country;Total;Females;Number;;
2006;Germany (until 1990 former territory of the FRG);Syria;Total;Total;Number;28,154;
2006;Germany (until 1990 former territory of the FRG);Syria;Total;Males;Number;16,097;
