Country;2010;2011;2012;2013;2014;2015;2016
Germany;3418.371;3755.549;3535.199;3831.427;3859.547;3357.614;3467.780
UnitedKingdom;2409.409;2594.114;2624.291;2680.123;2945.146;2849.345;2760.959
France;2651.772;2865.304;2688.210;2807.306;2846.889;2421.560;2464.790
Italy;2130.586;2280.315;2076.370;2137.615;2147.952;1815.757;1848.691
Spain;1434.257;1495.968;1356.483;1393.476;1406.855;1199.715;1242.356
Russia;1524.915;1904.790;2015.154;2079.134;1857.461;1324.734;1132.739
Netherlands;837.949;894.576;823.595;853.806;866.354;738.419;762.521
Turkey;731.539;774.729;788.605;821.918;806.108;733.642;751.186
Switzerland;580.696;696.528;665.898;685.871;712.050;664.603;651.770
Sweden;488.378;563.110;543.881;579.526;570.137;492.618;512.748
Poland;476.528;524.104;496.687;526.031;546.644;474.893;473.501
Belgium;485.307;528.721;499.129;524.970;534.672;454.687;465.248
Austria;390.383;429.493;407.801;428.456;437.123;374.124;384.799
Norway;428.527;498.157;509.705;522.349;500.244;389.482;366.873
Denmark;319.812;341.498;322.277;335.878;340.806;294.951;301.784
Ireland;218.843;237.990;222.089;232.150;246.438;238.031;254.596
Finland;248.262;273.925;256.849;268.281;271.165;229.671;234.578
Portugal;238.748;245.120;216.488;224.983;230.012;199.077;205.085
Greece;300.156;289.068;249.663;242.306;238.023;195.320;194.594
CzechRepublic;207.016;227.307;206.751;208.796;205.658;181.858;185.269
Romania;167.986;186.113;172.041;191.598;199.950;177.315;181.944
Hungary;129.585;139.447;126.825;133.424;137.104;120.636;117.729
Slovakia;89.173;97.621;92.799;97.743;99.971;86.629;89.797
Ukraine;136.011;163.307;175.707;179.572;130.660;90.524;83.550
Luxembourg;52.241;59.010;56.323;60.150;62.395;57.423;60.176
Croatia;59.611;62.172;56.484;57.849;57.159;48.850;49.928
Bulgaria;48.782;55.799;52.613;54.517;55.837;48.957;49.364
Belarus;55.221;59.735;63.615;71.710;76.139;54.609;45.887
Slovenia;48.060;51.299;46.288;48.005;49.506;42.768;43.791
Lithuania;37.155;43.478;42.828;46.426;48.232;41.267;43.024
Serbia;39.035;46.488;40.749;45.520;43.866;36.513;37.381
Latvia;24.112;28.488;28.343;30.838;31.970;27.048;28.177
Estonia;19.529;22.824;22.673;24.888;25.953;22.704;28.177
Cyprus;25.294;27.114;24.954;24.065;23.269;19.330;19.795
Iceland;13.261;14.666;14.183;15.330;16.693;16.718;18.633
BosniaandHerzegovina;16.847;18.318;16.906;17.852;17.977;15.794;16.324
Albania;11.927;12.891;12.345;12.916;13.262;11.543;12.269
Macedonia;9.433;10.659;9.751;10.774;11.342;9.922;10.424
Malta;8.757;9.604;9.289;10.056;10.582;9.801;10.341
Moldova;5.813;7.018;7.283;7.985;7.944;6.414;6.084
Montenegro;4.118;4.500;4.048;4.419;4.462;4.039;4.182
SanMarino;2.143;2.056;1.802;1.802;1.786;1.566;1.569
