"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","4,220","d"
"2008","European Union (28 countries)","Syria","Total","Total","First time applicant","Person","2,940","d"
"2008","European Union (28 countries)","Syria","Total","Less than 14 years","Asylum applicant","Person","670","d"
"2008","European Union (28 countries)","Syria","Total","Less than 14 years","First time applicant","Person","540","d"
"2008","European Union (28 countries)","Syria","Total","From 14 to 17 years","Asylum applicant","Person","190","d"
"2008","European Union (28 countries)","Syria","Total","From 14 to 17 years","First time applicant","Person","150","d"
"2008","European Union (28 countries)","Syria","Total","From 18 to 34 years","Asylum applicant","Person","2,670","d"
"2008","European Union (28 countries)","Syria","Total","From 18 to 34 years","First time applicant","Person","1,765","d"
"2008","European Union (28 countries)","Syria","Total","From 35 to 64 years","Asylum applicant","Person","645","d"
"2008","European Union (28 countries)","Syria","Total","From 35 to 64 years","First time applicant","Person","445","d"
"2008","European Union (28 countries)","Syria","Total","65 years or over","Asylum applicant","Person","45","d"
"2008","European Union (28 countries)","Syria","Total","65 years or over","First time applicant","Person","35","d"
"2008","European Union (28 countries)","Syria","Total","Unknown","Asylum applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Total","Unknown","First time applicant","Person","5","d"
"2008","European Union (28 countries)","Syria","Males","Total","Asylum applicant","Person","3,350","d"
"2008","European Union (28 countries)","Syria","Males","Total","First time applicant","Person","2,270","d"
"2008","European Union (28 countries)","Syria","Males","Less than 14 years","Asylum applicant","Person","365","d"
"2008","European Union (28 countries)","Syria","Males","Less than 14 years","First time applicant","Person","295","d"
"2008","European Union (28 countries)","Syria","Males","From 14 to 17 years","Asylum applicant","Person","135","d"
"2008","European Union (28 countries)","Syria","Males","From 14 to 17 years","First time applicant","Person","110","d"
"2008","European Union (28 countries)","Syria","Males","From 18 to 34 years","Asylum applicant","Person","2,340","d"
"2008","European Union (28 countries)","Syria","Males","From 18 to 34 years","First time applicant","Person","1,520","d"
"2008","European Union (28 countries)","Syria","Males","From 35 to 64 years","Asylum applicant","Person","490","d"
"2008","European Union (28 countries)","Syria","Males","From 35 to 64 years","First time applicant","Person","325","d"
"2008","European Union (28 countries)","Syria","Males","65 years or over","Asylum applicant","Person","20","d"
"2008","European Union (28 countries)","Syria","Males","65 years or over","First time applicant","Person","15","d"
"2008","European Union (28 countries)","Syria","Males","Unknown","Asylum applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Males","Unknown","First time applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Females","Total","Asylum applicant","Person","865","d"
"2008","European Union (28 countries)","Syria","Females","Total","First time applicant","Person","670","d"
"2008","European Union (28 countries)","Syria","Females","Less than 14 years","Asylum applicant","Person","305","d"
"2008","European Union (28 countries)","Syria","Females","Less than 14 years","First time applicant","Person","245","d"
"2008","European Union (28 countries)","Syria","Females","From 14 to 17 years","Asylum applicant","Person","50","d"
"2008","European Union (28 countries)","Syria","Females","From 14 to 17 years","First time applicant","Person","40","d"
"2008","European Union (28 countries)","Syria","Females","From 18 to 34 years","Asylum applicant","Person","330","d"
"2008","European Union (28 countries)","Syria","Females","From 18 to 34 years","First time applicant","Person","240","d"
"2008","European Union (28 countries)","Syria","Females","From 35 to 64 years","Asylum applicant","Person","155","d"
"2008","European Union (28 countries)","Syria","Females","From 35 to 64 years","First time applicant","Person","125","d"
"2008","European Union (28 countries)","Syria","Females","65 years or over","Asylum applicant","Person","25","d"
"2008","European Union (28 countries)","Syria","Females","65 years or over","First time applicant","Person","20","d"
"2008","European Union (28 countries)","Syria","Females","Unknown","Asylum applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Females","Unknown","First time applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","Total","Asylum applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","Total","First time applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","Less than 14 years","Asylum applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","Less than 14 years","First time applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","From 14 to 17 years","Asylum applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","From 14 to 17 years","First time applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","From 18 to 34 years","Asylum applicant","Person","0","d"
"2008","European Union (28 countries)","Syria","Unknown","From 18 to 34 years","First time applicant","Person","0","d"
