Year;Country;Count
1980;Italy;2
1981;Italy;4
1982;Italy;4
1983;Italy;6
1984;Italy;9
1985;Italy;9
1986;Italy;14
1987;Italy;20
1988;UnitedKingdom;22
1988;Greece;60
1988;Italy;27
1989;Denmark;11
1989;UnitedKingdom;13
1989;Greece;100
1989;Italy;34
1990;Denmark;46
1990;UnitedKingdom;17
1990;Italy;32
1990;Sweden;1796
1991;Denmark;71
1991;Spain;34
1991;UnitedKingdom;16
1991;Italy;32
1991;Sweden;2679
1992;Denmark;108
1992;Spain;31
1992;UnitedKingdom;9
1992;Italy;36
1992;Netherlands;913
1992;Sweden;3157
1993;Bulgaria;1
1993;Denmark;129
1993;Spain;38
1993;UnitedKingdom;9
1993;Greece;125
1993;Italy;35
1993;Netherlands;1040
1993;Serbia;3
1993;Sweden;3216
1994;Belgium;1
1994;Bulgaria;26
1994;Denmark;129
1994;Spain;32
1994;UnitedKingdom;5
1994;Greece;118
1994;Italy;35
1994;Malta;2
1994;Netherlands;1134
1994;Serbia;3
1994;Sweden;3384
1995;Albania;3
1995;Bulgaria;31
1995;Denmark;129
1995;Spain;24
1995;France;213
1995;UnitedKingdom;5
1995;Italy;41
1995;Malta;4
1995;Netherlands;1274
1995;Serbia;1
1995;Sweden;3364
1995;Turkey;43
1996;Albania;3
1996;Belgium;238
1996;Bulgaria;37
1996;Denmark;127
1996;Spain;7
1996;France;192
1996;UnitedKingdom;5
1996;Italy;36
1996;Malta;5
1996;Netherlands;1502
1996;Serbia;1
1996;Sweden;3240
1996;Turkey;33
1997;Albania;3
1997;Belgium;238
1997;Bulgaria;1
1997;Denmark;145
1997;Spain;8
1997;France;196
1997;UnitedKingdom;5
1997;Italy;34
1997;Kazakhstan;3
1997;Malta;5
1997;Netherlands;1636
1997;Norway;50
1997;Poland;14
1997;Romania;2
1997;Serbia;1
1997;Sweden;3165
1998;Albania;3
1998;Austria;91
1998;Belgium;105
1998;Bulgaria;1
1998;Belarus;1
1998;Switzerland;59
1998;Cyprus;5
1998;Denmark;144
1998;Spain;10
1998;Finland;27
1998;France;192
1998;UnitedKingdom;5
1998;Italy;28
1998;Kazakhstan;3
1998;Malta;1
1998;Netherlands;1711
1998;Norway;71
1998;Poland;14
1998;Romania;8
1998;Serbia;1
1998;Sweden;3014
1998;Ukraine;23
1999;Austria;85
1999;Belgium;103
1999;Bulgaria;2
1999;Switzerland;109
1999;Cyprus;15
1999;Denmark;231
1999;Spain;18
1999;Finland;27
1999;France;174
1999;UnitedKingdom;5
1999;Hungary;2
1999;Ireland;2
1999;Italy;21
1999;Kazakhstan;3
1999;Malta;1
1999;Netherlands;1654
1999;Norway;120
1999;Poland;14
1999;Romania;14
1999;Serbia;1
1999;Sweden;2419
1999;Ukraine;29
2000;Austria;85
2000;Azerbaijan;1
2000;Belgium;102
2000;Bulgaria;36
2000;Belarus;3
2000;Belize;15
2000;Switzerland;289
2000;Cyprus;8
2000;CzechRepublic;15
2000;Germany;1046
2000;Denmark;258
2000;Spain;18
2000;Finland;26
2000;France;148
2000;Greece;33
2000;Hungary;16
2000;Ireland;2
2000;Iceland;1
2000;Italy;24
2000;Kazakhstan;3
2000;Malta;1
2000;Netherlands;3447
2000;Norway;113
2000;Poland;14
2000;Romania;14
2000;Serbia;2
2000;Slovakia;3
2000;Sweden;2028
2000;Turkey;3
2000;Ukraine;39
2001;Austria;79
2001;Azerbaijan;2
2001;Belgium;47
2001;Bulgaria;58
