LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag_Codes
AUT;UNEMP;TOT;PC_LF;A;2000;3.533025;
AUT;UNEMP;TOT;PC_LF;A;2001;3.59086;
AUT;UNEMP;TOT;PC_LF;A;2002;3.951978;
AUT;UNEMP;TOT;PC_LF;A;2003;4.286487;B
AUT;UNEMP;TOT;PC_LF;A;2004;5.49025;
AUT;UNEMP;TOT;PC_LF;A;2005;5.628417;
AUT;UNEMP;TOT;PC_LF;A;2006;5.246718;
AUT;UNEMP;TOT;PC_LF;A;2007;4.858952;
AUT;UNEMP;TOT;PC_LF;A;2008;4.129104;
AUT;UNEMP;TOT;PC_LF;A;2009;5.298988;
AUT;UNEMP;TOT;PC_LF;A;2010;4.82168;
AUT;UNEMP;TOT;PC_LF;A;2011;4.566622;
AUT;UNEMP;TOT;PC_LF;A;2012;4.863267;
AUT;UNEMP;TOT;PC_LF;A;2013;5.336031;
AUT;UNEMP;TOT;PC_LF;A;2014;5.621219;
AUT;UNEMP;TOT;PC_LF;A;2015;5.723468;
BEL;UNEMP;TOT;PC_LF;A;2000;7.00965;
BEL;UNEMP;TOT;PC_LF;A;2001;6.607931;
BEL;UNEMP;TOT;PC_LF;A;2002;7.511277;
BEL;UNEMP;TOT;PC_LF;A;2003;8.172144;
BEL;UNEMP;TOT;PC_LF;A;2004;8.387378;
BEL;UNEMP;TOT;PC_LF;A;2005;8.438975;
BEL;UNEMP;TOT;PC_LF;A;2006;8.249064;
BEL;UNEMP;TOT;PC_LF;A;2007;7.459264;
BEL;UNEMP;TOT;PC_LF;A;2008;6.970808;
BEL;UNEMP;TOT;PC_LF;A;2009;7.906314;
BEL;UNEMP;TOT;PC_LF;A;2010;8.293048;
BEL;UNEMP;TOT;PC_LF;A;2011;7.139795;
BEL;UNEMP;TOT;PC_LF;A;2012;7.537931;
BEL;UNEMP;TOT;PC_LF;A;2013;8.425185;
BEL;UNEMP;TOT;PC_LF;A;2014;8.52289;
BEL;UNEMP;TOT;PC_LF;A;2015;8.481071;
CZE;UNEMP;TOT;PC_LF;A;2000;8.823602;
CZE;UNEMP;TOT;PC_LF;A;2001;8.165375;
CZE;UNEMP;TOT;PC_LF;A;2002;7.313614;
CZE;UNEMP;TOT;PC_LF;A;2003;7.812037;
CZE;UNEMP;TOT;PC_LF;A;2004;8.322025;
CZE;UNEMP;TOT;PC_LF;A;2005;7.928005;
CZE;UNEMP;TOT;PC_LF;A;2006;7.148034;
CZE;UNEMP;TOT;PC_LF;A;2007;5.321516;
CZE;UNEMP;TOT;PC_LF;A;2008;4.392356;
CZE;UNEMP;TOT;PC_LF;A;2009;6.658732;
CZE;UNEMP;TOT;PC_LF;A;2010;7.279707;
CZE;UNEMP;TOT;PC_LF;A;2011;6.711369;
CZE;UNEMP;TOT;PC_LF;A;2012;6.977849;
CZE;UNEMP;TOT;PC_LF;A;2013;6.953799;
CZE;UNEMP;TOT;PC_LF;A;2014;6.109115;
CZE;UNEMP;TOT;PC_LF;A;2015;5.046221;
DNK;UNEMP;TOT;PC_LF;A;2000;4.625956;
DNK;UNEMP;TOT;PC_LF;A;2001;4.606088;
DNK;UNEMP;TOT;PC_LF;A;2002;4.586689;
DNK;UNEMP;TOT;PC_LF;A;2003;5.406289;
DNK;UNEMP;TOT;PC_LF;A;2004;5.507644;
DNK;UNEMP;TOT;PC_LF;A;2005;4.830782;
DNK;UNEMP;TOT;PC_LF;A;2006;3.898582;
DNK;UNEMP;TOT;PC_LF;A;2007;3.79897;
DNK;UNEMP;TOT;PC_LF;A;2008;3.43347;
DNK;UNEMP;TOT;PC_LF;A;2009;6.009111;
DNK;UNEMP;TOT;PC_LF;A;2010;7.463035;
DNK;UNEMP;TOT;PC_LF;A;2011;7.572792;
DNK;UNEMP;TOT;PC_LF;A;2012;7.524072;
DNK;UNEMP;TOT;PC_LF;A;2013;6.995368;
DNK;UNEMP;TOT;PC_LF;A;2014;6.59281;
DNK;UNEMP;TOT;PC_LF;A;2015;6.169618;B
FIN;UNEMP;TOT;PC_LF;A;2000;9.800185;
FIN;UNEMP;TOT;PC_LF;A;2001;9.121559;
FIN;UNEMP;TOT;PC_LF;A;2002;9.081173;
FIN;UNEMP;TOT;PC_LF;A;2003;9.016909;
FIN;UNEMP;TOT;PC_LF;A;2004;8.816031;
FIN;UNEMP;TOT;PC_LF;A;2005;8.37867;
FIN;UNEMP;TOT;PC_LF;A;2006;7.714881;
FIN;UNEMP;TOT;PC_LF;A;2007;6.853993;
FIN;UNEMP;TOT;PC_LF;A;2008;6.362757;
FIN;UNEMP;TOT;PC_LF;A;2009;8.237782;
FIN;UNEMP;TOT;PC_LF;A;2010;8.386981;
FIN;UNEMP;TOT;PC_LF;A;2011;7.774969;
FIN;UNEMP;TOT;PC_LF;A;2012;7.68181;
FIN;UNEMP;TOT;PC_LF;A;2013;8.186392;
FIN;UNEMP;TOT;PC_LF;A;2014;8.657802;
FIN;UNEMP;TOT;PC_LF;A;2015;9.367311;
FRA;UNEMP;TOT;PC_LF;A;2003;8.099563;
FRA;UNEMP;TOT;PC_LF;A;2004;8.468398;
FRA;UNEMP;TOT;PC_LF;A;2005;8.493855;
FRA;UNEMP;TOT;PC_LF;A;2006;8.449007;
FRA;UNEMP;TOT;PC_LF;A;2007;7.658579;
FRA;UNEMP;TOT;PC_LF;A;2008;7.062972;
FRA;UNEMP;TOT;PC_LF;A;2009;8.735972;
FRA;UNEMP;TOT;PC_LF;A;2010;8.871792;
FRA;UNEMP;TOT;PC_LF;A;2011;8.811044;
FRA;UNEMP;TOT;PC_LF;A;2012;9.399351;
FRA;UNEMP;TOT;PC_LF;A;2013;9.912376;B
FRA;UNEMP;TOT;PC_LF;A;2014;10.30407;
FRA;UNEMP;TOT;PC_LF;A;2015;10.35981;
DEU;UNEMP;TOT;PC_LF;A;2000;7.755578;
DEU;UNEMP;TOT;PC_LF;A;2001;7.836031;
DEU;UNEMP;TOT;PC_LF;A;2002;8.653863;
DEU;UNEMP;TOT;PC_LF;A;2003;9.637083;
DEU;UNEMP;TOT;PC_LF;A;2004;9.793687;B
DEU;UNEMP;TOT;PC_LF;A;2005;11.16768;
DEU;UNEMP;TOT;PC_LF;A;2006;10.25272;
DEU;UNEMP;TOT;PC_LF;A;2007;8.66153;
DEU;UNEMP;TOT;PC_LF;A;2008;7.527764;
DEU;UNEMP;TOT;PC_LF;A;2009;7.743155;B
DEU;UNEMP;TOT;PC_LF;A;2010;6.967637;
DEU;UNEMP;TOT;PC_LF;A;2011;5.827424;
DEU;UNEMP;TOT;PC_LF;A;2012;5.380757;
DEU;UNEMP;TOT;PC_LF;A;2013;5.231962;
DEU;UNEMP;TOT;PC_LF;A;2014;4.981592;
DEU;UNEMP;TOT;PC_LF;A;2015;4.624955;
GRC;UNEMP;TOT;PC_LF;A;2000;11.35194;B
GRC;UNEMP;TOT;PC_LF;A;2001;10.79246;
GRC;UNEMP;TOT;PC_LF;A;2002;10.35682;
GRC;UNEMP;TOT;PC_LF;A;2003;9.793463;
GRC;UNEMP;TOT;PC_LF;A;2004;10.59146;
GRC;UNEMP;TOT;PC_LF;A;2005;9.994969;
GRC;UNEMP;TOT;PC_LF;A;2006;9.008785;
GRC;UNEMP;TOT;PC_LF;A;2007;8.397298;
GRC;UNEMP;TOT;PC_LF;A;2008;7.760761;
GRC;UNEMP;TOT;PC_LF;A;2009;9.615903;
GRC;UNEMP;TOT;PC_LF;A;2010;12.71716;
GRC;UNEMP;TOT;PC_LF;A;2011;17.87071;
GRC;UNEMP;TOT;PC_LF;A;2012;24.44174;
GRC;UNEMP;TOT;PC_LF;A;2013;27.46715;
GRC;UNEMP;TOT;PC_LF;A;2014;26.49027;
GRC;UNEMP;TOT;PC_LF;A;2015;24.90084;
HUN;UNEMP;TOT;PC_LF;A;2000;6.416963;
HUN;UNEMP;TOT;PC_LF;A;2001;5.72702;
HUN;UNEMP;TOT;PC_LF;A;2002;5.829966;
HUN;UNEMP;TOT;PC_LF;A;2003;5.869752;
HUN;UNEMP;TOT;PC_LF;A;2004;6.079033;
HUN;UNEMP;TOT;PC_LF;A;2005;7.188301;
HUN;UNEMP;TOT;PC_LF;A;2006;7.494521;
HUN;UNEMP;TOT;PC_LF;A;2007;7.406472;
HUN;UNEMP;TOT;PC_LF;A;2008;7.817173;
HUN;UNEMP;TOT;PC_LF;A;2009;10.02932;
HUN;UNEMP;TOT;PC_LF;A;2010;11.17377;
HUN;UNEMP;TOT;PC_LF;A;2011;11.03269;
HUN;UNEMP;TOT;PC_LF;A;2012;11.00812;
HUN;UNEMP;TOT;PC_LF;A;2013;10.18524;
HUN;UNEMP;TOT;PC_LF;A;2014;7.728486;
HUN;UNEMP;TOT;PC_LF;A;2015;6.817803;
IRL;UNEMP;TOT;PC_LF;A;2000;4.332074;
IRL;UNEMP;TOT;PC_LF;A;2001;3.914628;
IRL;UNEMP;TOT;PC_LF;A;2002;4.443757;
IRL;UNEMP;TOT;PC_LF;A;2003;4.737063;
IRL;UNEMP;TOT;PC_LF;A;2004;4.538512;
IRL;UNEMP;TOT;PC_LF;A;2005;4.338238;
IRL;UNEMP;TOT;PC_LF;A;2006;4.411824;B
IRL;UNEMP;TOT;PC_LF;A;2007;4.673273;
IRL;UNEMP;TOT;PC_LF;A;2008;6.398334;
IRL;UNEMP;TOT;PC_LF;A;2009;12.00854;
IRL;UNEMP;TOT;PC_LF;A;2010;13.85273;
IRL;UNEMP;TOT;PC_LF;A;2011;14.62392;
IRL;UNEMP;TOT;PC_LF;A;2012;14.67011;
IRL;UNEMP;TOT;PC_LF;A;2013;13.04587;
IRL;UNEMP;TOT;PC_LF;A;2014;11.26332;
IRL;UNEMP;TOT;PC_LF;A;2015;9.397721;
ITA;UNEMP;TOT;PC_LF;A;2000;10.58827;
ITA;UNEMP;TOT;PC_LF;A;2001;9.524396;
ITA;UNEMP;TOT;PC_LF;A;2002;9.007127;
ITA;UNEMP;TOT;PC_LF;A;2003;8.672171;
ITA;UNEMP;TOT;PC_LF;A;2004;7.998679;
ITA;UNEMP;TOT;PC_LF;A;2005;7.728764;
ITA;UNEMP;TOT;PC_LF;A;2006;6.775816;
ITA;UNEMP;TOT;PC_LF;A;2007;6.075274;
ITA;UNEMP;TOT;PC_LF;A;2008;6.723351;
ITA;UNEMP;TOT;PC_LF;A;2009;7.747658;
ITA;UNEMP;TOT;PC_LF;A;2010;8.359172;
ITA;UNEMP;TOT;PC_LF;A;2011;8.353756;
ITA;UNEMP;TOT;PC_LF;A;2012;10.65126;
ITA;UNEMP;TOT;PC_LF;A;2013;12.14521;
ITA;UNEMP;TOT;PC_LF;A;2014;12.6798;
ITA;UNEMP;TOT;PC_LF;A;2015;11.89388;
LUX;UNEMP;TOT;PC_LF;A;2003;3.656025;
LUX;UNEMP;TOT;PC_LF;A;2004;5.138539;
LUX;UNEMP;TOT;PC_LF;A;2005;4.489393;
LUX;UNEMP;TOT;PC_LF;A;2006;4.731707;B
LUX;UNEMP;TOT;PC_LF;A;2007;4.066088;
LUX;UNEMP;TOT;PC_LF;A;2008;5.050495;
LUX;UNEMP;TOT;PC_LF;A;2009;5.111732;
LUX;UNEMP;TOT;PC_LF;A;2010;4.351644;
LUX;UNEMP;TOT;PC_LF;A;2011;4.896927;
LUX;UNEMP;TOT;PC_LF;A;2012;5.138287;
LUX;UNEMP;TOT;PC_LF;A;2013;5.836521;
LUX;UNEMP;TOT;PC_LF;A;2014;5.854882;B
LUX;UNEMP;TOT;PC_LF;A;2015;6.658826;
NLD;UNEMP;TOT;PC_LF;A;2000;2.947122;
NLD;UNEMP;TOT;PC_LF;A;2001;2.251434;
