Year;Albania;Austria;Belarus;Belgium;BosniaandHerzegovina;Bulgaria;Croatia;CzechRepublic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Ireland;Italy;Latvia;Luxembourg;Malta;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;Russia;Serbia;Slovakia;Slovenia;Spain;Sweden;Switzerland;Turkey;Ukraine;UnitedKingdom
2000;1;85;3;102;1;36;1;15;258;1;26;148;1046;33;16;2;24;1;1;1;1;3447;113;14;1;14;1;2;3;1;18;2028;289;3;39;1
2001;2;164;6;149;3;94;2;38;495;5;58;340;2198;78;26;11;46;2;2;3;2;6729;218;30;2;30;2;3;12;2;38;3296;631;11;91;2
2002;3;225;8;180;4;155;3;55;724;6;83;547;17875;137;46;24;82;3;3;7;3;9439;325;47;3;49;3;4;17;3;58;5137;1065;22;136;3
2003;4;286;10;369;6;220;4;72;924;7;117;738;34323;204;75;55;117;4;4;14;4;11758;418;66;4;74;4;5;60;4;73;7071;1378;30;202;19
2004;5;361;13;702;8;294;5;86;1119;8;157;943;50982;282;108;94;158;5;5;26;5;13895;550;75;5;100;5;6;76;5;94;8617;1663;44;285;63
2005;6;483;14;1226;9;372;6;111;1319;9;196;1156;64339;360;157;121;205;6;6;40;6;15905;694;88;6;127;6;7;86;6;115;10016;2048;63;365;271
2006;7;940;15;1479;10;451;7;156;1543;10;250;1372;72301;421;217;162;267;7;7;51;7;17826;922;97;7;163;7;8;96;7;136;11543;2553;70;436;557
2007;8;1521;16;1593;12;536;8;189;1804;11;301;1589;80711;860;285;209;351;8;8;62;8;19247;1157;109;8;195;8;9;110;8;157;13168;3282;94;501;921
2008;9;2211;17;1745;14;626;9;243;2106;12;366;1822;90334;1026;360;261;461;11;9;73;9;20573;1433;121;9;226;14;10;124;9;191;14869;4483;127;587;1316
2009;10;3091;18;1922;17;726;10;314;2650;13;449;2066;102362;1045;406;301;651;12;10;98;10;21925;1882;132;10;256;21;11;144;10;224;16581;5867;191;683;1776
2010;11;4067;19;2151;20;851;14;373;3883;14;531;2346;115570;3278;453;345;891;13;25;134;11;23244;2260;148;11;290;29;12;166;11;271;18121;7420;265;821;2275
2011;12;5426;20;3129;23;1019;18;396;5173;15;692;2697;130438;3288;495;390;1153;28;26;286;12;24539;2767;168;12;337;45;13;189;17;303;19812;9560;9759;1040;3307
2012;15;7795;31;4422;54;1116;70;520;7191;16;1020;3337;154589;3308;581;443;2105;60;27;616;19;26219;3638;268;21;499;1589;62;213;27;655;29614;12643;326998;1556;5413
2013;30;12104;91;6787;120;5720;129;694;10548;28;1449;5154;186408;13168;906;529;3223;105;55;1494;79;29623;5208;476;43;1522;4991;125;239;38;1578;54406;17504;1053465;2314;9223
2014;38;14852;211;10140;145;16731;157;984;19269;34;1942;9275;256993;17263;2063;716;4698;174;174;2575;115;40638;8604;750;73;2914;7331;369;279;66;3695;107702;26166;2611614;3249;15124
2015;39;48415;356;18249;159;32233;180;1391;33082;40;3212;17165;454179;26812;21146;876;6404;239;942;4063;116;69540;21853;1231;103;4601;9028;380;326;105;8311;209695;39323;5115460;4214;23268
